flightNumber,origin,destination,distance,duration,model,speed,MaxCapa
6882,ORD,JFK,739,116,321,400,181
6009,ORD,JFK,739,116,321,400,181
9458,ORD,JFK,739,111,738,400,160
7284,ORD,JFK,739,112,321,400,181
8211,ORD,JFK,739,117,757,380,176
3587,ORD,JFK,739,123,757,380,176
8855,ORD,JFK,739,118,757,380,176
8210,ORD,JFK,739,121,757,380,176
3623,ORD,JFK,739,117,738,400,160
122,ORD,DFW,802,125,738,400,160
7171,ORD,DFW,802,127,757,380,176
1310,ORD,DFW,802,123,321,400,181
7304,ORD,DFW,802,122,738,400,160
4777,ORD,DFW,802,120,738,400,160
4643,ORD,DFW,802,120,321,400,181
8984,ORD,DFW,802,130,738,400,160
1966,ORD,DFW,802,131,738,400,160
8638,DFW,ORD,802,139,757,380,176
1268,DFW,ORD,802,126,321,400,181
5866,DFW,ORD,802,134,757,380,176
6980,DFW,ORD,802,134,757,380,176
9081,DFW,ORD,802,120,321,400,181
9401,DFW,ORD,802,129,321,400,181
2236,DFW,ORD,802,132,321,400,181
8861,DFW,ORD,802,127,321,400,181
7953,DFW,ORD,802,120,321,400,181
8186,DFW,ORD,802,123,321,400,181
1292,DFW,LAX,1234,198,757,380,176
1343,DFW,LAX,1234,199,757,380,176
5543,DFW,LAX,1234,214,757,380,176
4263,DFW,LAX,1234,192,321,400,181
495,DFW,LAX,1234,193,321,400,181
6785,DFW,LAX,1234,201,738,400,160
8379,DFW,LAX,1234,207,757,380,176
2880,DFW,LAX,1234,190,321,400,181
8590,DFW,LAX,1234,201,757,380,176
6672,DFW,LAX,1234,207,757,380,176
7206,DFW,LAX,1234,188,321,400,181
1402,DFW,LAX,1234,211,757,380,176
5437,DFW,LAX,1234,194,321,400,181
7057,DFW,JFK,1390,231,757,380,176
1400,DFW,JFK,1390,230,757,380,176
6654,DFW,JFK,1390,220,757,380,176
629,DFW,JFK,1390,218,321,400,181
751,DFW,JFK,1390,222,738,400,160
2613,DFW,JFK,1390,211,738,400,160
2175,DFW,JFK,1390,228,321,400,181
7835,DFW,JFK,1390,221,738,400,160
8272,DFW,JFK,1390,225,738,400,160
295,JFK,ORD,739,116,321,400,181
8771,JFK,ORD,739,127,757,380,176
9493,JFK,ORD,739,113,738,400,160
5216,JFK,ORD,739,119,757,380,176
9590,JFK,ORD,739,121,321,400,181
9549,JFK,ORD,739,116,321,400,181
3482,JFK,ORD,739,120,738,400,160
2763,JFK,ORD,739,114,738,400,160
2006,JFK,ORD,739,113,321,400,181
7573,JFK,ORD,739,114,738,400,160
620,JFK,ORD,739,115,738,400,160
883,JFK,ORD,739,115,321,400,181
6740,JFK,ORD,739,114,738,400,160
6091,JFK,ORD,739,114,738,400,160
1309,JFK,ORD,739,120,738,400,160
618,JFK,ORD,739,111,738,400,160
3802,JFK,LAX,2472,418,757,380,176
9235,JFK,LAX,2472,408,757,380,176
5028,JFK,LAX,2472,404,321,400,181
8804,JFK,LAX,2472,374,321,400,181
4711,JFK,LAX,2472,381,321,400,181
1260,JFK,LAX,2472,381,321,400,181
4362,JFK,LAX,2472,375,321,400,181
1905,JFK,LAX,2472,400,757,380,176
7831,JFK,LAX,2472,398,757,380,176
565,JFK,LAX,2472,378,738,400,160
7299,JFK,LAX,2472,417,757,380,176
9501,JFK,LAX,2472,398,757,380,176
5024,JFK,LAX,2472,398,738,400,160
9110,JFK,LAX,2472,381,321,400,181
6692,JFK,DFW,1390,209,738,400,160
1341,JFK,DFW,1390,224,757,380,176
934,JFK,DFW,1390,231,757,380,176
9673,JFK,DFW,1390,220,738,400,160
8651,JFK,DFW,1390,221,757,380,176
9558,JFK,DFW,1390,229,321,400,181
7489,JFK,DFW,1390,229,757,380,176
1882,JFK,DFW,1390,221,757,380,176
9972,JFK,DFW,1390,224,321,400,181
9477,JFK,DFW,1390,226,757,380,176
4060,JFK,DFW,1390,227,321,400,181
1676,JFK,DFW,1390,216,321,400,181
4020,JFK,DFW,1390,228,757,380,176
7670,JFK,DFW,1390,223,321,400,181
8860,LAX,ORD,1743,271,738,400,160
7102,LAX,ORD,1743,288,757,380,176
2115,LAX,ORD,1743,265,738,400,160
6676,LAX,ORD,1743,269,738,400,160
6101,LAX,ORD,1743,285,738,400,160
416,LAX,ORD,1743,284,738,400,160
4741,LAX,ORD,1743,281,757,380,176
9632,LAX,ORD,1743,279,738,400,160
7713,LAX,ORD,1743,274,738,400,160
8856,LAX,ORD,1743,272,321,400,181
1374,LAX,ORD,1743,292,757,380,176
6156,LAX,JFK,2472,399,757,380,176
806,LAX,JFK,2472,381,738,400,160
9977,LAX,JFK,2472,406,321,400,181
731,LAX,JFK,2472,392,757,380,176
1000,LAX,JFK,2472,428,757,380,176
6392,LAX,JFK,2472,388,321,400,181
1508,LAX,DFW,1234,196,321,400,181
9274,LAX,DFW,1234,193,738,400,160
6315,LAX,DFW,1234,201,738,400,160
4762,LAX,DFW,1234,193,738,400,160
8372,LAX,DFW,1234,189,321,400,181
6883,LAX,DFW,1234,193,321,400,181
3628,LAX,DFW,1234,203,321,400,181
7613,LAX,DFW,1234,201,757,380,176
767,LAX,DFW,1234,209,757,380,176
2923,LAX,DFW,1234,193,321,400,181
5757,LAX,DFW,1234,186,738,400,160
6444,LAX,DFW,1234,201,321,400,181
2882,LAX,DFW,1234,189,321,400,181
3638,LAX,DFW,1234,201,321,400,181
1706,ORD,LAX,1743,282,757,380,176
1472,ORD,LAX,1743,277,738,400,160
7860,ORD,LAX,1743,272,738,400,160
879,ORD,LAX,1743,269,321,400,181
875,ORD,LAX,1743,275,757,380,176
5136,ORD,LAX,1743,274,738,400,160
8024,ORD,LAX,1743,266,738,400,160
4043,ORD,JFK,739,127,757,380,176
4856,ORD,JFK,739,113,321,400,181
4524,ORD,JFK,739,116,321,400,181
6973,ORD,JFK,739,115,738,400,160
7962,ORD,JFK,739,118,321,400,181
4325,ORD,JFK,739,115,321,400,181
1507,ORD,DFW,802,125,321,400,181
3447,ORD,DFW,802,132,738,400,160
4029,ORD,DFW,802,135,757,380,176
6720,ORD,DFW,802,131,321,400,181
8986,ORD,DFW,802,128,738,400,160
1127,ORD,DFW,802,130,321,400,181
7716,ORD,DFW,802,127,738,400,160
9072,ORD,DFW,802,127,321,400,181
9763,ORD,DFW,802,128,321,400,181
7145,ORD,DFW,802,130,738,400,160
3318,ORD,DFW,802,121,321,400,181
750,ORD,DFW,802,130,321,400,181
4247,ORD,DFW,802,124,321,400,181
7212,DFW,ORD,802,127,738,400,160
339,DFW,ORD,802,129,321,400,181
8024,DFW,ORD,802,129,757,380,176
3704,DFW,ORD,802,120,321,400,181
6596,DFW,ORD,802,129,321,400,181
1635,DFW,ORD,802,129,757,380,176
9304,DFW,ORD,802,123,738,400,160
6152,DFW,ORD,802,126,757,380,176
6022,DFW,ORD,802,130,321,400,181
9607,DFW,ORD,802,126,321,400,181
3970,DFW,ORD,802,127,321,400,181
6257,DFW,ORD,802,137,757,380,176
7159,DFW,LAX,1234,186,321,400,181
5545,DFW,LAX,1234,185,738,400,160
8638,DFW,LAX,1234,197,757,380,176
3996,DFW,LAX,1234,202,757,380,176
3153,DFW,LAX,1234,186,738,400,160
6859,DFW,LAX,1234,197,321,400,181
9768,DFW,LAX,1234,195,757,380,176
6314,DFW,LAX,1234,204,757,380,176
7198,DFW,LAX,1234,213,757,380,176
965,DFW,LAX,1234,201,321,400,181
1362,DFW,LAX,1234,209,757,380,176
8921,DFW,LAX,1234,209,757,380,176
2353,DFW,LAX,1234,203,757,380,176
8597,DFW,LAX,1234,200,321,400,181
3412,DFW,JFK,1390,232,757,380,176
1958,DFW,JFK,1390,219,757,380,176
8142,DFW,JFK,1390,235,757,380,176
527,DFW,JFK,1390,214,321,400,181
2677,DFW,JFK,1390,224,757,380,176
6490,DFW,JFK,1390,219,321,400,181
6895,DFW,JFK,1390,222,757,380,176
2373,DFW,JFK,1390,215,321,400,181
5364,DFW,JFK,1390,219,738,400,160
6893,DFW,JFK,1390,221,738,400,160
4886,DFW,JFK,1390,219,321,400,181
2564,DFW,JFK,1390,212,738,400,160
5581,DFW,JFK,1390,241,757,380,176
841,JFK,ORD,739,114,321,400,181
1710,JFK,ORD,739,117,757,380,176
224,JFK,ORD,739,120,738,400,160
7202,JFK,ORD,739,125,757,380,176
1411,JFK,ORD,739,126,757,380,176
5752,JFK,ORD,739,112,321,400,181
1611,JFK,ORD,739,127,757,380,176
7351,JFK,ORD,739,119,738,400,160
1585,JFK,ORD,739,123,757,380,176
1628,JFK,ORD,739,120,321,400,181
9260,JFK,ORD,739,118,321,400,181
9221,JFK,ORD,739,111,738,400,160
5329,JFK,ORD,739,111,738,400,160
8712,JFK,ORD,739,115,321,400,181
2788,JFK,LAX,2472,405,757,380,176
2622,JFK,LAX,2472,407,738,400,160
3420,JFK,LAX,2472,397,757,380,176
8115,JFK,LAX,2472,405,757,380,176
687,JFK,LAX,2472,373,321,400,181
5060,JFK,LAX,2472,401,738,400,160
9240,JFK,LAX,2472,380,321,400,181
5485,JFK,LAX,2472,373,738,400,160
8695,JFK,LAX,2472,415,757,380,176
3907,JFK,LAX,2472,376,738,400,160
7050,JFK,LAX,2472,371,738,400,160
1470,JFK,LAX,2472,372,738,400,160
5515,JFK,LAX,2472,406,738,400,160
5829,JFK,LAX,2472,396,738,400,160
6280,JFK,LAX,2472,386,738,400,160
1137,JFK,LAX,2472,375,738,400,160
6428,JFK,DFW,1390,226,321,400,181
8493,JFK,DFW,1390,212,738,400,160
3419,JFK,DFW,1390,227,738,400,160
1103,JFK,DFW,1390,235,757,380,176
371,JFK,DFW,1390,229,738,400,160
2468,JFK,DFW,1390,217,738,400,160
9905,JFK,DFW,1390,221,757,380,176
4039,JFK,DFW,1390,221,321,400,181
8223,JFK,DFW,1390,214,321,400,181
4643,JFK,DFW,1390,225,757,380,176
3967,JFK,DFW,1390,221,757,380,176
5164,JFK,DFW,1390,222,757,380,176
7287,LAX,ORD,1743,273,738,400,160
277,LAX,ORD,1743,265,738,400,160
9312,LAX,ORD,1743,268,321,400,181
2757,LAX,ORD,1743,275,738,400,160
5246,LAX,ORD,1743,283,738,400,160
4585,LAX,ORD,1743,280,738,400,160
6172,LAX,JFK,2472,410,757,380,176
9669,LAX,JFK,2472,400,757,380,176
9897,LAX,JFK,2472,400,321,400,181
2047,LAX,JFK,2472,383,321,400,181
9818,LAX,JFK,2472,379,738,400,160
2330,LAX,JFK,2472,390,321,400,181
5552,LAX,JFK,2472,401,321,400,181
7646,LAX,JFK,2472,407,321,400,181
4961,LAX,DFW,1234,191,321,400,181
7558,LAX,DFW,1234,202,757,380,176
5395,LAX,DFW,1234,192,738,400,160
9895,LAX,DFW,1234,210,757,380,176
669,LAX,DFW,1234,192,321,400,181
2480,LAX,DFW,1234,186,738,400,160
176,LAX,DFW,1234,187,738,400,160
3975,LAX,DFW,1234,195,738,400,160
6568,ORD,LAX,1743,263,321,400,181
1140,ORD,LAX,1743,284,321,400,181
7123,ORD,LAX,1743,287,321,400,181
2540,ORD,LAX,1743,297,757,380,176
786,ORD,LAX,1743,268,738,400,160
8650,ORD,LAX,1743,275,757,380,176
2447,ORD,LAX,1743,277,757,380,176
786,ORD,LAX,1743,266,738,400,160
1039,ORD,LAX,1743,277,738,400,160
7621,ORD,LAX,1743,280,738,400,160
4481,ORD,LAX,1743,277,321,400,181
5719,ORD,LAX,1743,284,321,400,181
5728,ORD,LAX,1743,272,738,400,160
9506,ORD,LAX,1743,267,321,400,181
3513,ORD,LAX,1743,283,321,400,181
8299,ORD,JFK,739,118,321,400,181
6554,ORD,JFK,739,124,757,380,176
5738,ORD,JFK,739,117,738,400,160
2091,ORD,JFK,739,120,757,380,176
6748,ORD,JFK,739,117,321,400,181
1039,ORD,JFK,739,121,321,400,181
3151,ORD,JFK,739,121,738,400,160
6477,ORD,JFK,739,117,757,380,176
3188,ORD,JFK,739,125,757,380,176
6625,ORD,JFK,739,117,738,400,160
9656,ORD,JFK,739,113,738,400,160
6728,ORD,JFK,739,120,757,380,176
